URL,Title,Address,Description
https://newyork.craigslist.org/brx/egr/d/bronx-construction-estimator/6784804356.html,Construction Estimator,Bronx,"
        
Seeking Administrative assistant with knowledge of Architectural drawings , to assist in project estimating and submittals , understanding of excel, auto cad , drafting a plus.  
Basic knowledge  in this field is a plus. Great opportunity to learn.    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6785053382.html,Junior Architect,Chelsea,"
        
Award winning New York City firm specializing in high-end homes seeks project team member with professional architecture degree and 3 to 5 years experience. Interested individuals should have strong interest in traditional residential architecture, possess excellent verbal and written communication skills and be highly organized. Knowledge of traditional details is required. We offer a competitive salary and excellent benefits with growth opportunities in a comfortable and friendly environment.    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-part-time-license/6777038370.html,part time license engineer and master plumber,Chinatown / Lit Italy,"
        
Part time professional engineer or master plumber needed, who will responsible to review drawing and site visit, schedule flexible, pay good! annually salary from $35,000 to $100,000    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer/6785128152.html,"Interior Designer Available for Architects, Designers and Developers",,"
        
Architect and Interior Designer Collaboration
*
Freelance Interior Designer with over two decades of professional experience available to work in your office or off-site, assisting designers, architects and developers with shopping, sourcing and other design needs, based on project protocol. The following list of services and disciplines can add significant value to your firm.
My process is respectful and honors the architectural culture, language and process, with a commitment to design excellence.
*
Offering:
•	Fabric, furniture and finishes program with specifications, procurement and scheduling
•	Knowledge and access from established relationships within the interiors industry
•	Sourcing and vetting materials, artisans and bespoke detailing
•	Design and augmentation of color palettes
•	Visual research and precedent development 
•	Communication of FFE-related information to architecture team for integration into drawing 
•	Actively attends design fairs domestic and international design fairs

Feel free to reach out to discuss a possible collaboration or assistance on small or large scale projects.
    "
https://newyork.craigslist.org/lgi/egr/d/melville-bookkeeper/6769080299.html,BOOKKEEPER,MELVILLE,"
        
General Contracting firm is looking or a full time bookkeeper. Candidates need to have a basic knowledge of accounting and quickbooks. Bachelor's degree is a plus, 2 years experience preferably in the construction industry.
To apply please send your resume and requirements.


    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-floor-plan-measurer-as/6769218227.html,Floor Plan Measurer: AS-BUILT Drawings $50/hr,"New York, NY","
        
We have an immediate opening for a floor plan measurer. This is a flexible position for part-time work (contractor). You will set your own schedule and we will fit appointments into your availability (M-F, 9-5 only). 

Applicant must be highly experienced in creating as-built condition drawings (floor plans) of residential and commercial properties in CAD. Applicant must have the ability to create CAD drawings on-site using own laptop and AutoCAD software. Taking measurements on paper and later transferring to CAD drawings is NOT acceptable. Applicant must use a laser tape measure on-site.

Applicant must:
- Have a good understanding of building construction
- Be highly-proficient in CAD
- Have availability during normal weekday business hours: 9-5 to survey properties (please do not apply if you are looking for after-hour or weekend appointments.)
- Have own vehicle to visit properties
- Be reliable and very detail oriented

There are no set number of measurements in a day or week as appointments vary from week to week. We prefer a candidate with lots of availability but can set up as many or as few appointments as desired. This is a great, flexible opportunity for the right candidate.

Compensation: $50 per hr plus $10 travel and $10 per diem

Please send email with your previous work experience and education. 
You must use the following subject line in your email: ""Re: Floor Plan Measurer - New York""    "
https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-estimator/6785300630.html,Mechanical Estimator,Brooklyn,"
        
Mechanical/HVAC Engineer/Estimator wanted for Brooklyn NY based  Contractor
Project management and Auto-Cad knowledge preferred but not mandatory   
Must be self starter/self motivator,  experience a must, only qualified applications will be considered

    "
https://newyork.craigslist.org/jsy/egr/d/union-city-cad-drafter/6776602537.html,CAD DRAFTER,"UNION CITY, NJ","
        
Job Summary

Designers Edge is seeking a results-oriented CAD Drafter to produce Architectural Drawings in CAD for Fortune 1000 companies, enterprise architectural firms, and large property management and construction companies throughout North America. The successful candidate will thrive in a fast-pace team environment to work in collaboration with various staff members to meet scheduled deliverables. Designers Edge offers a dynamic and challenging work environment, and the training and support to meet your full potential.

Responsibilities and Duties

-Coordinate the collection of data and incorporate this information into drawings to create client specific existing conditions documents utilizing AutoCAD, with field information gathered by Point Cloud Scans, 360 Degree Images, and HD Photos.
-Implement QA/QC of architectural deliverables.
-Responsible for understanding and implementing project specific design and program requirements.
-Responsible for communication and file exchanges with Field Surveyor Technicians, and Project Managers.
-Work in conjunction with Project Managers to meet scheduled deliverables.
-Production of Detailed Conditions Drawings, Site Reports and other deliverables.

Qualifications and Skills

-Must possess a ""Glass Half Full"" and ""Can Do"" Attitude
-Must be proficient in AutoCAD and REVIT
-Proven ability to produce Architectural, and Engineering Drawings.
-Proficient in Architectural Detailing.
-Strong time management skills, production knowledge and a sense of ownership and responsibility for all of the products that are produced by the department.
-Communicative, self-motivated, enthusiastic, interested in growth & dependable.
-Strong math and drafting skills are desired
-Ability to communicate effectively, understand project scope, and complete designated work on time
-Must be detail oriented with a general understanding of building specifications, and ADA Guidelines
-Must show attention to detail with ability to multitask, work efficiently, and work under pressure of deadlines.
-Must be comfortable working with Microsoft Office, and Using Web Applications.
-Proficient in construction methodology is a plus.
-Attend training as scheduled.
-Associates in Architecture or Certificate in CAD required. Bachelor's Degree in Architecture or Engineering preferred.
-1-2 years of related experience preferred

The Perks

-We are an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.
-15 Paid Days Off
-Medical (Choice of plans)
-Dental (Choice of Plans)
-Vision (Choice of plans)
-401K with 3% Match
-Flexible Schedule. Start work day between 8am and 9am, finish work day between 5pm and 6pm.
-Free Lunch Fridays
-Fully Stocked Pantry
-Competitive pay
-Quarterly review for Bonus and Raise opportunities

**NO SPONSORSHIPS**

Job Type: Full-time    "
https://newyork.craigslist.org/brk/egr/d/brooklyn-help-desgn-and-buld-devce-to/6776808550.html,Help Desıgn and Buıld a Devıce to Test Small Electronıcs,Wıllıamsburg,"
        
I'm looking for someone to help me develop a simple device to assist with the testing of small, battery-operated electronics.

I recently purchased a lot of hundreds of old Game Boy Pockets that I want to resell, but I need to test each end every one to see if they're all working first, so I don't inadvertently sell broken merchandise.  This product takes 2 AA batteries, but I don't have time to put in and take out the batteries hundreds of times.  Instead, I'd like to build a handheld (or some other type of) battery-pack which clips onto the back of each Game Boy that well allow me to test these Game Boy Pockets quickly and easily, without having to put batteries in and out of each one.

This so-called ""game-boy tester"" is simply a 2xAA battery pack, with a built-in clip that allows you to easily clip the battery pack onto the back of the Game Boy, where the battery terminals are.  The ""clip"" will probably have to be 3D-printed so it fits well.

I'm looking for someone who can build me a kick-ass tester - someone with experience with building/prototyping small gadgets and mechanical devices, 3D-printing, etc., who can use good materials and make something strong and sturdy that can withstand the testing of hundreds or thousands of pieces.

Please reply to this ad if you think you can help me build this thing.  I'm offering $250, but I'll most-likely want to enlist some helpers to help with the testing, so we may need to make additional testers, and I will pay another $100 for each additional tester (plus the cost of materials).    "
https://newyork.craigslist.org/que/egr/d/autocad-person-wanted-for-immediate-hire/6769263038.html,Autocad person wanted for immediate hire!!!,College point,"
        
Zusto Architectural metal and glass company in Queens is seeking a full time auto cad designer and estimator for immediate start.

Must have experience in producing shop drawings for fabrication of all types of architectural projects. Some estimating, experience, ability to purchase materials off shop drawings and some office management of projects in progress.

Please only respond if you have experience in these areas!!!!!!!

This is a full time position Monday through Friday 
Serious inquiries only!!!

Salary to be determined upon experience 

Call Robert 917-417-5998
    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-superintendent-heavy/6769362692.html,Superintendent - Heavy Construction,New York,"
        
Our client, a division of a $20 billion civil construction firm is looking for a construction superintendent for several major projects in the Greater New York Area.

Required Skills:
Construction Management or Engineering degree preferred (Note: Work experience can be substituted for education)
3-5 years of heavy construction experience
Knowledge of all major agencies (MTA, DEP, DOT, Port Authority)

Responsibilities:
Enforce site safety at all times
Supervision & scheduling of job activities
Scheduling of multiple shifts during the week and weekends
Extensive planning, coordination and scheduling of subcontractors
Prepare daily work-site reports
Cost Control
Resolve union disputes
Material take-off and coordination of material and delivery
Oversee daily field operations
Handle all project trucking and equipment needs

If you are considering making a change, and would like to work for financially stable, growing company, please submit your resume in confidence for immediate consideration by clicking the link below.  



No Phone Calls Please.

Thank you,

MEA Strategic Solutions    "
https://newyork.craigslist.org/brk/egr/d/architectural-drafting-person/6769344609.html,Architectural  drafting person,,"
        
Architecture consulting firm is seeking for an architectural draftsperson with 
experience. Draft person must have experience in AutoCAD-16 and rendering programs (REVIT e.t.c.)
Please, send your resume to email: ak123123@aol.com

    "
https://newyork.craigslist.org/que/egr/d/bayside-project-architect-manager/6769532128.html,Project Architect/Manager,Bayside,"
        
Busy award winning architectural firm located in Bayside seeking full time, experienced Project Architect/Manager to join our design team.

REQUIREMENTS:
- Must have 5 year Bachelor of Architecture degree with minimum 5 years working experience in single family residential design and mixed-use buildings.
- Knowledgeable of NYC zoning and building codes.
- Must be able to develop design concepts into a full set of construction drawings.
- Needs to be organized, reliable and have excellent communication skills, both written and verbal. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants.
- Strong AutoCad skills. 
- Must be able to manage multiple projects.

For consideration please email cover letter, resume, salary range and portfolio.
    "
https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6769566326.html,Electrical Engineer,Midtown,"
        
About Us:

We are a full service MEP Engineering Consulting Firm. Founded in the early 1900's by highly experienced professionals with the knowledge and experience of a large engineering firm that has successfully engineered both new construction and renovation projects including, tenant interiors, corporate headquarters, high-rise commercial office buildings, healthcare facilities, laboratories, academic and cultural facilities, residential and institutional buildings, restaurants and mixed-use facilities.

We are aggressively seeking an Electrical Engineer ( preferably with an E.I.T or PE )

Position Responsibilities Include:

Lead the planning and detailed design layout.
Design of electrical lighting, and fire alarm systems and power layouts for commercial buildings/ critical power system including regulators, generators, UPS and emergency power back-up systems
Assist in coordination and communication with clients, consultants, design and technical team members
Revit/BIM software design experience is a plus.
Handle a project from beginning to end - project management 
Develop project proposals and budgets
Prepare technical reports/specifications

Electrical Engineer with 5+years of experience in NYC commercial, institutional, healthcare, governmental or residential design.
Must possess interdisciplinary coordination skills, field experience 
Professional Engineering License and/or Leed Certification is a Plus.


Professional Salary Range (85,000.00 to 125,000.00) Overtime is paid for hours worked over 40 hours per week. 

Full Benefits ( Medical & Dental )

Relocation assistance.

401K - Profit Sharing Plan

Vacation/Sick Day
Bonus Potential

Job Requirements
Requirements


Bachelor's degree in Electrical Engineering

A minimum of 5+ years of experience in building design. Project experience should include buildings on which you have actively led the project from the design phase through the final construction close-out.
Revit/BIM software experience with design is a Huge Plus.

Strong communication and management skills

Excellent analytical and problem-solving skills

    "
https://newyork.craigslist.org/que/egr/d/flushing-construction-project-manager/6769644305.html,Construction Project Manager/Foreman-Bilingual in Chinese,Queens,"
        
Queens based construction company is currently looking for a detail-oriented construction project manager/Foreman with minimum 5 years experiences in RC building construction. 

1.	Familiar with ground up new construction projects with a good working knowledge of all trades. 
2.	Experience in reading and understanding design drawings.
3.	Able to professionally communicate on a daily basis with architects, engineers, sub-contractors of various trades, and all in house crews involved on a project.
4.	Competent in supervising the crew.
5.	Time keeping and daily log reports
6.	Create punch list and maintain job schedule
7.	Attend progress meetings
8.	Research and create change orders
9.	Oversee safety program and administer toolbox talks
10.	Responsible for purchasing
11.	Ability to do takeoff

This is an exciting opportunity for the right candidate. Forward your resume with a listing of all managed projects and certifications, salary requirements and contact info.    "
https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer-3-5-yrs-exp/6769659241.html,Structural Engineer (3-5 yrs Exp.),Queens,"
        
As a well established engineering firm serving the Tri-State area for over 25 years, we are currently seeking a structural engineers to join our team.

Required Qualifications

   -  MS degree in Civil Engineering.
   -  Proficient skill with AutoCAD or Microstation. Knowledge in both is highly preferred.
   -  3-5 years experience in residential/commercial building structure design.
   -  Experience in concrete/steel shop drawings design is a plus. 
   -  Experience or previous education/training in eTabs, STAAD, or RAM is a plus.
   -  Must have excellent verbal and written communication skills, work well with team environments, and be able to work solely with minimal supervision on deadline driven projects.

    "
https://newyork.craigslist.org/que/egr/d/project-architects/6769978106.html,Project Architect(s),"Jamaica, Queens","
        
Mssa, a Successful 8-Person Architectural studio based in Queens is seeking Project Architect(s). Our projects include single-family residential, multifamily, and mixed-use hotels. The studio offers an opportunity to be involved in all phases of the urban built environment from Design Development, Construction Documents, Consultant Coordination and City Approvals to Project Close up. The candidate shall be willing to work on a whole range of projects from small extensions to multifamily and hospitality projects.

Requirements
• BS or 5-year Professional degree in Architecture
• Minimum 3 years' experience in an architecture office
• Proven ability to produce Construction Documents
• Working knowledge of NYC code and zoning regulations
• Familiarity with DOB procedures a plus
• Site visits and requisition review
• Check submittals and respond to requests for information
• Fluent with Autocad Architecture 2017/18
• Revit 2017 Experience a plus
• Strong work ethic 
• Fluent English 

Please submit your resume including work samples with a particular emphasis on construction documents.
    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect-with/6769987876.html,Junior Architect with Purchasing Experience,Midtown West,"
        
Commercial and residential construction company based in Manhattan, NY seeks a Junior Architect with purchasing experience to join its growing business. Ideal candidate will be an architect with strong desire to learn and gain in-depth experience in the construction industry.  

PRIMARY DUTIES AND RESPONSIBILITIES: 
•	Read and interpret architectural plans and blueprints, woodworking/cabinetry drawings. 
•	Produce quality shop drawings for commercial and residential projects 
•	Take field dimensions and revise details to submit to shop for production
•	Source materials and contractors for each project.
•	Develop network of multiple material vendors and service contractors to facilitate timely construction and the highest quality standards, and to ensure costs remain within budget.
•	Thoroughly understand project's phases and deadlines, material lead times and subcontractor availability.
•	Negotiate pricing and delivery schedules with vendors. 
•	Expedite deliveries when necessary
•	Coordinate with Inventory Manager before making purchases to ensure appropriate inventory levels.
•	Coordinate for timely delivery of materials

REQUIREMENTS: 
•	Must have at least 5-7 years architecture/drafting experience in commercial and residential construction industry 
•	Strong ability to read blueprints and architectural drawings
•	Strong knowledge of AutoCAD or other cabinet engineering software 
•	Detail-oriented, highly motivated with the ability to effectively manage time and to meet specific deadlines.
•	Excellent organizational skills are a must. Will be required to support multiple projects in parallel and manage competing priorities and deadlines.
•	Must have sound negotiating skills.
•	Proficient in Microsoft Office (Power Point, Word, Excel) 
•	Excellent interpersonal, written and verbal communication skills.
•	Self-motivated with the ability to work independently or in a group environment.
•	Bachelor's degree in architecture, engineering, supply chain management, construction management or equivalent degree is desirable.
    "
